ID,SUBE,MAAS,YAS,CINSIYET,MOBIL BANKACILIK
731,S56,15428,9,61,E,0
732,S56,20725,5,47,E,1
733,S56,8091,56,52,K,0
734,S56,5851,25,65,K,0
735,S56,20287,78,30,E,1
736,S56,7854,9,62,E,0
737,S57,14504,15,51,E,1
738,S57,12233,44,44,K,1
739,S57,13922,45,58,E,1
740,S57,13136,08,54,E,0
741,S57,12051,6,40,E,1
742,S57,13159,62,40,E,1
743,S57,18841,91,32,E,1
744,S57,14259,06,36,E,1
745,S57,8888,48,27,E,1
746,S57,13234,98,28,E,1
747,S57,11945,63,29,E,1
748,S57,14182,32,49,E,0
749,S57,10215,67,33,E,1
750,S57,14210,78,31,E,1
751,S57,22633,56,29,E,1
752,S57,10922,14,54,E,1
753,S57,10080,16,26,E,1
754,S57,13344,5,37,E,1
755,S57,17162,33,25,E,1
756,S57,8890,26,30,K,1
757,S57,16149,66,26,E,1
758,S57,25978,43,47,E,1
759,S58,15074,36,54,K,1
760,S58,11788,32,57,E,1
761,S58,13322,03,57,E,1
762,S58,14855,26,40,E,1
763,S58,14938,86,44,E,1
764,S58,16170,96,30,E,1
765,S58,11712,41,38,K,1
766,S58,15188,71,50,E,1
767,S58,10057,75,40,K,1
768,S58,11017,84,31,E,1
769,S58,11490,83,32,E,1
770,S58,9236,26,33,E,0
771,S58,12409,15,27,E,1
772,S58,16613,04,31,E,1
773,S58,21815,83,28,K,1
774,S58,14019,81,26,E,1
775,S58,15203,97,27,E,1
776,S58,9431,78,39,E,0
777,S58,14700,98,26,E,1
778,S58,9771,46,38,K,0
779,S58,11648,38,28,E,1
780,S58,11861,18,27,K,1
781,S59,12230,03,39,K,1
782,S59,12137,53,32,E,1
783,S59,14652,5,29,E,1
784,S59,11270,77,28,E,1
785,S6,6568,83,74,E,0
786,S6,12887,81,46,E,1
787,S6,12160,17,28,K,1
788,S6,9178,67,30,E,1
789,S6,9307,88,36,E,0
790,S61,18142,47,57,E,1
791,S61,11112,55,34,E,1
792,S61,20304,26,28,E,1
793,S62,6224,48,65,E,0
794,S62,13196,01,46,E,1
795,S62,9866,49,36,K,0
796,S62,9353,89,39,E,0
797,S62,10367,24,36,E,1
798,S62,13513,69,59,E,1
799,S62,6340,05,59,K,0
800,S62,15097,98,38,E,1
801,S62,9711,08,47,E,0
802,S62,7946,87,30,E,1
803,S62,7939,73,35,E,0
804,S62,6208,8,53,E,0
805,S63,14026,71,27,E,1
806,S63,11267,79,51,E,1
807,S64,5175,26,80,K,0
808,S64,20098,95,41,E,1
809,S64,6122,09,67,E,0
810,S64,19802,88,45,E,1
811,S64,7101,35,58,E,0
812,S64,13811,76,35,E,1
813,S64,8800,28,K,1
814,S64,15598,99,38,K,1
815,S64,15655,5,37,E,1
816,S65,11915,41,60,E,1
817,S65,6677,95,38,K,0
818,S65,5468,09,51,E,0
819,S66,10854,5,57,E,1
820,S66,15310,66,53,E,1
821,S66,18025,73,47,E,1
822,S66,6927,52,86,K,0
823,S66,13987,43,67,E,1
824,S66,14131,88,53,E,1
825,S66,19688,25,52,E,1
826,S66,14523,06,46,E,1
827,S66,11121,56,56,E,1
828,S66,17026,82,41,E,1
829,S66,7186,23,50,E,0
830,S66,18041,76,37,E,1
831,S66,15371,16,48,E,1
832,S66,20181,65,46,K,1
833,S66,18756,74,51,E,1
834,S66,19212,5,42,K,1
835,S66,12780,2,41,E,1
836,S66,8347,35,38,E,0
837,S66,18363,74,48,E,1
838,S66,9297,49,33,E,0
839,S66,14792,56,30,E,1
840,S66,13082,16,37,E,1
841,S66,12651,15,35,K,1
842,S66,8434,38,E,0
843,S66,15283,93,47,E,1
844,S66,7688,86,52,E,0
845,S66,7956,13,35,K,0
846,S66,12585,78,31,K,1
847,S66,10311,48,29,E,1
848,S66,8480,43,27,K,1
849,S66,12686,27,25,E,1
850,S66,14352,81,24,E,1
851,S66,8475,41,44,E,0
852,S66,6934,63,47,E,0
853,S66,13517,29,E,1
854,S66,9180,44,33,E,0
855,S66,7877,29,47,E,0
856,S66,5979,36,51,E,0
857,S66,10144,07,27,E,1
858,S66,7595,2,33,E,0
859,S67,5961,82,70,E,0
860,S67,9551,64,62,E,0
